Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,SMS,Other Rules,Help other comics! Leave reviews,unique identifier,,,,
*2nd/4th* backyard baseball,Thursday,7:00 PM,8:30 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211, USA",Bar,Free,5,Sign up in person,,@backyardbaseball,Verified 5/8 Malev,#N/A,,,Thursday-7:00 PM-@backyardbaseball,,,,
Tiny Cupboard,Thursday,7:00 PM,8:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Josue Reveles,@Josue.Reveles_,Verified 5/8 Malev,6504307606,,,Thursday-7:00 PM-@Josue.Reveles_,,,,
taylor drew mic,Thursday,7:00 PM,8:30 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221, USA",Bar,Free (buy smth at bar pls),5,signup there,Taylor Drew,@taylordrew4u,Verified 5/8 Malev,4436248116,,,Thursday-7:00 PM-@taylordrew4u,,,,
Manhattan Mic,Thursday,7:00 PM,8:30 PM,Fiction Bar,Brooklyn,East Williamsburg,"308 Hooper St, Brooklyn, NY 11211, USA",Bar,Free (buy smth at bar pls),5,signup there,@SeanPeacock and @Eion_,@themanhattanmic,Unverified,#N/A,,,Thursday-7:00 PM-@themanhattanmic,,,,
Comedians on the Loose,Thursday,7:00 PM,8:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002, USA",Coffee Shop,$6 cash,5,https://www.comediansontheloose.com/open-mics,Sonja Savanovic,@cotlcomedy,Verified tediously 5/8 Malev,#N/A,,,Thursday-7:00 PM-@cotlcomedy,,,,
pizzagator,Thursday,7:30 PM,9:00 PM,alligator lounge,Brooklyn,Williamsburg,"600 Metropolitan Ave, Brooklyn, NY 11211, USA",Bar,Free (buy smth at bar pls),3-5,signup there,,@alligatorlounge,Unverified,#N/A,,,Thursday-7:30 PM-@alligatorlounge,,,,
thursdays at the rib,Thursday,7:30 PM,9:00 PM,island ribhouse,Brooklyn,Crown heights,"611 Nostrand Ave, Brooklyn, NY 11216, USA",Bar,Free (buy smth at bar pls),5,signup there,@bestmedicinenyc,@thursdaysattherib,Unverified,#N/A,,,Thursday-7:30 PM-@thursdaysattherib,,,,
Producer's Club,Thursday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,,,Thursday-7:30 PM-@micdupnyc,,,,
2nd/4th Thurs The fran mic,Thursday,8:00 PM,10:00 PM,easy lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211, USA",Bar,Free (buy smth at bar pls),,signup there,@allmyproblemz and @suchagreatsky,@franopenmic,Verified tediously 5/8 Malev,#N/A,,,Thursday-8:00 PM-@franopenmic,,,,
Producer's Club,Thursday,9:00 PM,10:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/8 Malev,9177517544,,,Thursday-9:00 PM-@micdupnyc,,,,
pop shop,Thursday,8:00 PM,9:30 PM,Cool Beans Coffee,Queens,Astoria,"50-20 39th Ave, Woodside, NY 11377",Coffee Shop,Free (buy smth at bar pls),,signup there,@sisoyoscarmonroy,@popshopcomedy,Unverified,#N/A,,,Thursday-8:00 PM-@popshopcomedy,,,,
Tiny Cupboard,Thursday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Thursday-8:30 PM-@thetinycupboard,,,,
No Steaks Mic,Thursday,9:00 PM,10:30 PM,VSpot (Brooklyn),Brooklyn,Park Slope,"156 5th Ave, Brooklyn, NY 11217, USA",Restaurant,Free (buy smth at bar pls),,signup there,Alex Shklar & Diego Campoverde,@alexmakesjokes,Verified tediously 5/8 Malev,#N/A,5 minutes. Capped at 15 comics,,Thursday-9:00 PM-@alexmakesjokes,,,,
*Show Dependent* 9or10 Fear City,Thursday,9:00 PM,10:30 PM,Fear City Comedy Club,Brooklyn,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/8 Malev,9707691563,,,Thursday-9:00 PM-@thefearcitycomedyclub,,,,
Comedians on the Loose,Thursday,9:00 PM,10:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002, USA",Coffee Shop,$6 cash,5,https://www.comediansontheloose.com/open-mics,Sonja Savanovic,@cotlcomedy,Verified tediously 5/8 Malev,#N/A,,,Thursday-9:00 PM-@cotlcomedy,,,,
Slander Factory Open Mic,Thursday,9:30 PM,11:00 PM,Talon Bar,Brooklyn,Bushwick,"220 Wyckoff Ave, Brooklyn, NY 11237, USA",Bar,Free (buy smth at bar pls),,signup there,Greg Gettle or @slanderfactory on IG,@slanderfactory,Verified 5/8 Malev,4153289773,,,Thursday-9:30 PM-@slanderfactory,,,,
Trauma Dump Thursday Mic,Thursday,9:45 PM,11:15 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free + 1 item minimum,5,signup there 30 mins prior,Rachel Warden,@traumadumpthursdaymic,Unverified,#N/A,,,Thursday-9:45 PM-@traumadumpthursdaymic,,,,
Tiny Cupboard,Thursday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,4 min,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Thursday-10:00 PM-@thetinycupboard,,,,
QED Late Mic,Thursday,10:45 PM,12:15 AM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Comedy Club,$5+ purchase,4 min,Sign up at 10:30,QED Staff,@qedastoria,Verified tediously 5/8 Malev,#N/A,,,Thursday-10:45 PM-@qedastoria,,,,
Soho Playhouse,Thursday,11:00 PM,1:30 AM,Soho Playhouse,Manhattan,West Village,"15 Vandam St, New York, NY 10013, USA",Theatre Space,$5 cash,5,in person only,,@sohoplayhouse,Verified tediously 5/8 Malev,#N/A,,,Thursday-11:00 PM-@sohoplayhouse,,,,
Greenwich Village CC,Friday,1:00 PM,3:00 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,Email DrewAndPetermic@gmail.com,Drew Tessier,@comedybydrew insta,Verified 5/13 Malev,3475151553,,,Friday-1:00 PM-@comedybydrew insta,,,,
Flow State Mic,Friday,3:00 PM,4:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Drew Tessier,@comedybydrew insta,Verified 5/13 Malev,3475151553,,,Friday-3:00 PM-@comedybydrew insta,,,,
Greenwich Village CC,Friday,3:00 PM,4:30 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012, USA",Comedy Club,$5,5,Email DrewAndPetermic@gmail.com,Sesh Comedy,@flowstatecomedy,Verified tediously 5/13 Malev,#N/A,,,Friday-3:00 PM-@flowstatecomedy,,,,
Don't Freak Out,Friday,4:00 PM,5:30 PM,New York Comedy Club Midtown,Manhattan,Gramercy,"241 E 24th St, New York, NY 10010",Comedy Club,$5,5,Sign up in person,Chris Pattwell,@chrispatwell.comedy,Unverified,#N/A,,,Friday-4:00 PM-@chrispatwell.comedy,,,,
Flow State Mic,Friday,4:00 PM,5:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/13 Malev,#N/A,,,Friday-4:00 PM-@flowstatecomedy,,,,
Comedy Shop Mic,Friday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5 min,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A grisly pear comic,@grislypear,Verified tediously 5/13 Malev,#N/A,,,Friday-4:00 PM-@grislypear,,,,
Grisly Pear,Friday,4:00 PM,5:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,Sign up in person,A comedy shop comic,@thecomedyshopvillage,Verified tediously 5/13 Malev,#N/A,,,Friday-4:00 PM-@thecomedyshopvillage,,,,
St. Marks Comedy Club,Friday,4:30 PM,6:00 PM,St. Marks Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/13 Malev,7184902903,,,Friday-4:30 PM-@laughingbuddhacomedy,,,,
Flow State Mic,Friday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/13 Malev,#N/A,,,Friday-5:00 PM-@flowstatecomedy,,,,
QED Open Mic,Friday,5:00 PM,6:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Comedy Club,$5+ purchase,4 min,Sign up in person,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/13 Malev,7184902903,Free to watch; purchase required to perform,,Friday-5:00 PM-@laughingbuddhacomedy,,,,
The Grisly Pear Mic,Friday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,show up first go up first depending on the host,,Friday-5:00 PM-@micdupnyc,,,,
Rodney's,Friday,5:00 PM,6:45 PM,Rodney's,Manhattan,Upper East Side,"557 Wendel Rd, Irwin, PA 15642, USA",Comedy Club,$2 and a drink,5,in person at 4:30,@molly_zalman,@numbskull_mic,Verified 5/8 Malev,8608109577,,,Friday-5:00 PM-@numbskull_mic,,,,
Numbskull,Friday,5:00 PM,6:30 PM,Pete's Candy Store,Brooklyn,Williamsburg,"709 Lorimer St, Brooklyn, NY 11211, USA",Bar,1 drink,5 min,Sign up in person,QED Staff,@qedastoria,Verified tediously 5/13 Malev,#N/A,,,Friday-5:00 PM-@qedastoria,,,,
Producer's Club,Friday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,Sign up in person,Ryan Harroff,@Ryanhlaughs,Verified tediously 5/13 Malev,#N/A,show up first go up first depending on the host,,Friday-5:00 PM-@Ryanhlaughs,,,,
Tiny Cupboard,Friday,5:30 PM,7:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Natalie Gavilanes,@nataliedoescomedy,Verified tediously 5/13 Malev,#N/A,,,Friday-5:30 PM-@nataliedoescomedy,,,,
Comedy Village Open  Mic,Friday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Manhattan,"352 W 44th St, New York, NY 10036, USA",Comedy Club,$6 (includes a drink),5,Sign up form sent weekly via IG from @nataliedoescomedy and on FB,Blue Room Host,@thetinycupboard,Verified tediously 5/13 Malev,#N/A,,,Friday-5:30 PM-@thetinycupboard,,,,
Comedy Shop,Friday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,Alexis Ramirez,@asapangry_,Verified 5/13 Malev,18648164553,on insta,,Friday-6:00 PM-@asapangry_,,,,
Phoenix Bar,Friday,6:00 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009, USA",Bar,"1 drink min ($4 pineapple juice, really $3 with $1 tip)",5,Sign up in person,Hetty Ra,@phoenixcomedynyc,Verified 5/13 Malev,3476201026,,,#REF!,,,,
fozzie bear presents,Friday,6:00 PM,7:30 PM,Pine Box Rock Shop,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206, USA",Bar,Free (buy smth at bar pls),,signup there,,@pineboxrockshop,Unverified,#N/A,,,Friday-6:00 PM-@micdupnyc,,,,
EastVille Mic,Friday,6:00 PM,7:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,,@eastvillecomedy,Unverified,#N/A,,,Friday-6:00 PM-@phoenixcomedynyc,,,,
Producer's Club,Friday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,Sign up in person,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,show up first go up first depending on the host,,Friday-6:00 PM-@thefearcitycomedyclub,,,,
Fear City Mic,Friday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/13 Malev,9707691563,,,#REF!,,,,
Fun Mug RIFF Mic,Friday,6:00 PM,7:30 PM,Grove 34,Manhattan,LES,"31-83 34th St, Astoria, NY 11106",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Pablo Pantalones,@funmugnyc or @pabspants,Verified 4/29 Malev,4422796520,"2 comics go up together to each pull 3 riffs from the bucket, riff back and forth on stage together, then they get to each choose another comic to take their place, it's actually super fun",An Adam favorite,Friday-6:00 PM-@funmugnyc or @pabspants,,,,
friday mic,Friday,6:20 PM,7:50 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215, USA",Bar,1 drink min (club soda etc ok),4,Sign up form posted on IG every Wednesday https://www.instagram.com/friday_mic,Ilana Rubin,@friday_mic,Verified 5/13 Malev,3473211959,,,Friday-6:20 PM-@friday_mic,,,,
Bushwick Comedy Club,Friday,6:30 PM,7:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206, USA",Comedy Club,$5. (NO CASH),5,www.bushwickcomedy.com,Jad/Brooks/Kyle,@bushwickcomedyclub,Verified tediously 5/13 Malev,#N/A,only 10 comics per mic. Must stay the whole time. A booker for the club watches every mic.,,Friday-6:30 PM-@bushwickcomedyclub,,,,
Pure Flop chaos house mic,Friday,6:30 PM,7:45 PM,Flop house comedy club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211, USA",Comedy Club,Free (buy smth at bar pls),,Sign up in person,Flop House host,@purechaoscomedy,Verified 5/14 Malev,2142366215,,,Friday-6:30 PM-@purechaoscomedy,,,,
Tiny Cupboard,Friday,7:00 PM,8:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@Alexdcomedy09,Verified tediously 5/13 Malev,#N/A,,,Friday-7:00 PM-@Alexdcomedy09,,,,
*2nd/4th Fri Two Beautiful Women,Friday,7:00 PM,8:30 PM,Fiction Bar,Brooklyn,East Williamsburg,"308 Hooper St, Brooklyn, NY 11211, USA",Bar,Free (buy smth at bar pls),,Sign up in person,@rockshart @yungviv,@twobeautifulwomencomedy,Verified tediously 5/13 Malev,#N/A,,,Friday-7:00 PM-@twobeautifulwomencomedy,,,,
Producer's Club,Friday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,$5 cash,5,Sign up in person,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,show up first go up first depending on the host,,Friday-7:30 PM-@micdupnyc,,,,
Tiny Cupboard,Friday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/13 Malev,#N/A,,,Friday-8:30 PM-@thetinycupboard,,,,
*check insta* KBUG,Friday,9:00 PM,N/A,Knickerbocker Underground bar,Brooklyn,Bushwick,"329 Knickerbocker Ave, Brooklyn, NY 11237",Bar,Free,5,Sign ups start at 8:30,,,Unverified,#N/A,@knickerbockerunderground,,Friday-9:00 PM-,,,,
Tiny Cupboard,Friday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Nathan Roy,@nathan_roy_shenanigans or @thetinycupboard,Verified 5/13 Malev,6313941070,,,Friday-10:00 PM-@nathan_roy_shenanigans or @thetinycupboard,,,,
Fear City Mic,Friday,10:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/13 Malev,9707691563,,,Friday-10:00 PM-@thefearcitycomedyclub,,,,
Get It Goin Mic,Friday,11:30 PM,1:00 AM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free (buy smth at bar pls),5,Sign up in person,Josh Blume/Angel Contreras,@joshistyping,Verified 5/13 Malev,2025730316,,,Friday-11:30 PM-@joshistyping,,,,
Merkin Comedy Hole,Friday,11:59 PM,12:59 AM,Merkin Comedy Hole,Brooklyn,Bushwick,Secret location,Other,Free,5 min,https://slotted.co/merkinmic,Laramie Flick and Taylor Drew,@merkincomedy,Verified 5/13 Malev,6465286574,,,Friday-11:59 PM-@merkincomedy,,,,
Weekend Warrior Mic,Saturday,1:00 PM,2:30 PM,Pioneers Bar,Manhattan,Chelsea,"138 W 29th St, New York, NY 10001, USA",Bar,$5 - 5 mins // $7 - 10 mins,5 or 10 mins,Dm Shareef Taher on fb or IG (@shareef_taher_haha),Shareef Taher,@shareef_taher,Verified tediously 5/8 Malev,#N/A,,,Saturday-1:00 PM-@shareef_taher,,,,
Flow State Mic,Saturday,2:00 PM,3:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,,,Saturday-2:00 PM-@flowstatecomedy,,,,
The Stand Laughing Buddha,Saturday,2:30 PM,4:00 PM,The Stand NYC,Manhattan,Gramercy,"116 E 16th St, New York, NY 10003, USA",Comedy Club,$7 + an item,5 min,https://laughingbuddhacomedy.com/,Laughing Buddha,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Saturday-2:30 PM-@laughingbuddhacomedy,,,,
Flow State Mic,Saturday,3:00 PM,4:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/8 Malev,#N/A,,,Saturday-3:00 PM-@flowstatecomedy,,,,
The Grisly Pear Buddha Mic,Saturday,3:00 PM,4:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019, USA",Comedy Club,$6+ booking fee,5-6 min,https://laughingbuddhacomedy.com/,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Saturday-3:00 PM-@laughingbuddhacomedy,,,,
Lifeboat Mic,Saturday,3:00 PM,5:00 PM,Soho Playhouse,Manhattan,SoHo,"15 Vandam St, New York, NY 10013, USA",Comedy Club,$5 cash,5,Sign up in person,Ro McQuaid,@lifeboatmic insta,Unverified,#N/A,,,Saturday-3:00 PM-@lifeboatmic insta,,,,
loose lips mic,Saturday,3:30 PM,5:00 PM,pete's candy store,Brooklyn,Williamsburg,"709 Lorimer St, Brooklyn, NY 11211, USA",Bar,Free,,Sign up in person,@fallonboles and @vassileiakazee,@looselipscomedy,Verified 5/8 Malev,3472600062,,,Saturday-3:30 PM-@looselipscomedy,,,,
Buddha Marks mic,Saturday,4:00 PM,5:30 PM,St. Mark's Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003, USA",Comedy Club,$5 cash,5,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Saturday-4:00 PM-@laughingbuddhacomedy,,,,
My Friend's Basement Mic,Saturday,4:00 PM,6:00 PM,My Friend's Basement Podcast Studio,Brooklyn,Bushwick/East Williamsburg,"255 McKibbin St, Brooklyn, NY 11206, USA",Other,$5,5,https://www.myfriendsbasement.studio/open-mic,Connor Kwiecien,@myfriendsbasementstudio,Verified 5/8 Malev,3476996895,All instructions on how to get into the building are sent in an email once you've signed up online. We have two 1-hour open mics. One is from 4-5 and the other is 5-6. 10 comics max on each mic.,,Saturday-4:00 PM-@myfriendsbasementstudio,,,,
St. Marks mic,Saturday,4:00 PM,5:30 PM,St. Mark's Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003, USA",Comedy Club,$5 cash,5,Sign up in person,Reed Mauro,@reedwashere1,Verified 5/8 Malev,7177816842,,,Saturday-4:00 PM-@reedwashere1,,,,
Comedy Shop,Saturday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5 min,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified tediously 5/8 Malev,#N/A,,,Saturday-4:00 PM-@thecomedyshopvillage,,,,
Fear City Mic,Saturday,4:00 PM,5:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/8 Malev,9707691563,,,Saturday-4:00 PM-@thefearcitycomedyclub,,,,
theryzzmic,Saturday,4:00 PM,5:30 PM,tiny cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Saturday-4:00 PM-@thetinycupboard,,,,
The Grisly Pear Mic,Saturday,4:30 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019, USA",Comedy Club,$6+ booking fee,5-7 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/8 Malev,7184902903,,,Saturday-4:30 PM-@laughingbuddhacomedy,,,,
feelings wheel,Saturday,5:30 PM,7:00 PM,easy lover bk,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211, USA",Bar,Free,,Sign up in person,Feelings Wheel host,@feelingswheeliess,Verified 5/8 Malev,2483301714,,,Saturday-5:30 PM-@feelingswheeliess,,,,
ct qts,Saturday,5:30 PM,7:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Saturday-5:30 PM-@thetinycupboard,,,,
Bushwick Comedy Club,Saturday,6:30 PM,7:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206, USA",Comedy Club,$5. (NO CASH),5,www.bushwickcomedy.com,Jad/Brooks/Kyle,@bushwickcomedyclub,Verified tediously 5/8 Malev,#N/A,10 comics max per mic,,Saturday-6:30 PM-@bushwickcomedyclub,,,,
Tiny Cupboard,Saturday,7:00 PM,8:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/8 Malev,#N/A,,,Saturday-7:00 PM-@cotlcomedy,,,,
Comedians on the Loose,Saturday,7:00 PM,8:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002, USA",Coffee Shop,$6 cash,5,https://www.comediansontheloose.com/open-mics,Sonja Savanovic,@cotlcomedy,Verified tediously 5/8 Malev,#N/A,,,Saturday-7:00 PM-@thetinycupboard,,,,
Tiny Cupboard,Saturday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Umar Pasha,@thetinycupboard,Verified 5/8 Malev,#N/A,,,Saturday-8:30 PM-@thetinycupboard,,,,
Comedians on the Loose,Saturday,9:00 PM,10:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002, USA",Coffee Shop,$6 cash,5,https://www.comediansontheloose.com/open-mics,Sonja Savanovic,@cotlcomedy,Verified tediously 5/8 Malev,#N/A,,,Saturday-9:00 PM-@cotlcomedy,,,,
